org_type,role,aware_paymentworks,paymentworks_actions,paymentworks_difficulties,paymentworks_support_source,aware_transcepta,invoice_submission_method,transcepta_interactions,transcepta_difficulties,transcepta_support_source,ipps_resources_aware,ipps_difficulties,po_clarity_rating,aware_po_nonpayment
"Small Business (per SBA standards),Sole Proprietor / Individual",Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Other (Please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,1 – Extremely Unclear,No
Sole Proprietor / Individual,Other:,Yes,Updating Company Information,"N/A, I've never heard of PaymentWorks","Other (please specify):,The person ordering the goods or services",Yes,Transcepta - Web Portal (PO flip and manual creation),None of the Above,"Receiving notifications about invoice errors/rejections,Viewing invoice submission status.",Accounts Payable (payables@ucsd.edu),Payee Onboarding Guide,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,5 – Extremely Clear,No
Small Business (per SBA standards),Executive-level leadership,,,,,,,,,,,,,
"Small Business (per SBA standards),Sole Proprietor / Individual",Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Payee Onboarding Guide,I have not experienced any difficulties,3 – Neutral,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Executive-level leadership,Yes,"Updating Remittance Details,Finding guidance on PaymentWorks actions","Updating Company Information,Viewing Payment Status",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Payee Onboarding Guide,I have never utilized these resources or support,2 – Somewhat Unclear,No
Large Business,Administrative support,Yes,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks","Procurement (pohelp@ucsd.edu),The person ordering the goods or services",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Onboarding Guide,Other (Please specify):,3 – Neutral,No
"Small Business (per SBA standards),Sole Proprietor / Individual",Administrative support,Yes,None of the above,Updating Remittance Details,"The person ordering the goods or services,Procurement (pohelp@ucsd.edu)",Yes,Other:,"Finding guidance on Transcepta actions.,Registering for Transcepta,Viewing invoice submission status.,Receiving notifications about invoice errors/rejections","N/A, I've never heard of Transcepta",Other (please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have not experienced any difficulties,2 – Somewhat Unclear,Yes
Other (please specify):,Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Other (Please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,4 – Somewhat Clear,Yes
Large Business,Administrative support,Yes,"N/A, I've never heard of PaymentWorks","Contacting PaymentWorks,Viewing Payment Status,Supplier Registration","Other (please specify):,Procurement (pohelp@ucsd.edu)",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Onboarding Guide,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,1 – Extremely Unclear,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have not experienced any difficulties,2 – Somewhat Unclear,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,I am not aware of any of these resources,I have never utilized these resources or support,4 – Somewhat Clear,Yes
Other (please specify):,Administrative support,Yes,"Contacting PaymentWorks,Updating Remittance Details,Finding guidance on PaymentWorks actions","Contacting PaymentWorks,Supplier Registration,Updating Company Information","PaymentWorks' Payee Knowledge Base,Accounts Payable (payables@ucsd.edu)",Yes,Transcepta - Email,"Viewing invoice submission status.,Receiving notifications about invoice errors/rejections",Finding guidance on Transcepta actions.,"I am unsure who to contact,The person ordering the goods or services",Other (Please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,5 – Extremely Clear,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Onboarding Guide,I have not experienced any difficulties,N/A – I do not have access to/do not receive Purchase Orders,No
Small Business (per SBA standards),Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Other (Please specify):,Other (Please specify):,3 – Neutral,No
Other (please specify):,Sales,,,,,,,,,,,,,
Sole Proprietor / Individual,Administrative support,Yes,"Contacting PaymentWorks,Updating Company Information,Supplier Registration","Contacting PaymentWorks,Updating Company Information",I am unsure who to contact,Yes,Transcepta - Web Portal (PO flip and manual creation),None of the Above,"Finding guidance on Transcepta actions.,Registering for Transcepta,Receiving notifications about invoice errors/rejections",Other (please specify):,Other (Please specify):,I have never utilized these resources or support,2 – Somewhat Unclear,Yes
Small Business (per SBA standards),Accounts receivable,,,,,,,,,,,,,
Other (please specify):,Accounts receivable,Yes,"Updating Remittance Details,Updating Company Information,Finding guidance on PaymentWorks actions,Viewing Payment Status","Updating Company Information,Supplier Registration",Other (please specify):,Yes,Other:,None of the Above,Receiving notifications about invoice errors/rejections,Other (please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have never utilized these resources or support,1 – Extremely Unclear,Yes
Small Business (per SBA standards),Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,,,,,,,,,
Large Business,Accounts receivable,,,,,,,,,,,,,
Non-Profit Organization,Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),,,,,,,,,
Non-Profit Organization,Administrative support,Yes,"Contacting PaymentWorks,Finding guidance on PaymentWorks actions,Supplier Registration","Updating Remittance Details,Supplier Registration,Viewing Payment Status",Accounts Payable (payables@ucsd.edu),Yes,Transcepta - Electronic Data Interchange (EDI),None of the Above,"N/A, I've never heard of Transcepta","The person ordering the goods or services,Transcepta Support",Payee Newsletter,I have not experienced any difficulties,1 – Extremely Unclear,No
"Small Business (per SBA standards),Sole Proprietor / Individual",Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,I am not aware of any of these resources,I have not experienced any difficulties,4 – Somewhat Clear,Yes
Non-Profit Organization,Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Payee Onboarding Guide,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,5 – Extremely Clear,No
Sole Proprietor / Individual,Other:,Yes,"Updating Remittance Details,Finding guidance on PaymentWorks actions,Viewing Payment Status,Supplier Registration","Updating Company Information,Contacting PaymentWorks,Supplier Registration",PaymentWorks Support,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Onboarding Guide,Other (Please specify):,5 – Extremely Clear,No
Small Business (per SBA standards),Executive-level leadership,Yes,"Viewing Payment Status,Supplier Registration,Updating Company Information,Updating Remittance Details",Updating Company Information,"I am unsure who to contact,Accounts Payable (payables@ucsd.edu)",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Onboarding Guide,I have not experienced any difficulties,1 – Extremely Unclear,Yes
Other (please specify):,Other:,,,,,,,,,,,,,
"Small Business (per SBA standards),Sole Proprietor / Individual",Administrative support,Yes,None of the above,"N/A, I've never heard of PaymentWorks","Other (please specify):,PaymentWorks Support",Yes,N/A - I don’t know how our invoices are submitted in Transcepta,"Viewing invoice submission status.,Registering for Transcepta,Finding guidance on Transcepta actions.,Receiving notifications about invoice errors/rejections",None of the Above,Transcepta Support,Other (Please specify):,Other (Please specify):,N/A – I do not have access to/do not receive Purchase Orders,Yes
Small Business (per SBA standards),Accounts receivable,Yes,"Contacting PaymentWorks,Viewing Payment Status","N/A, I've never heard of PaymentWorks",PaymentWorks Support,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Other (Please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,5 – Extremely Clear,No
Large Business,Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Payee Onboarding Guide,I have never utilized these resources or support,N/A – I do not have access to/do not receive Purchase Orders,No
Non-Profit Organization,Accounts receivable,Yes,None of the above,"Finding guidance on PaymentWorks actions,Supplier Registration,Viewing Payment Status","The person ordering the goods or services,Procurement (pohelp@ucsd.edu)",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,I am not aware of any of these resources,Other (Please specify):,2 – Somewhat Unclear,No
Large Business,Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have never utilized these resources or support,4 – Somewhat Clear,Yes
Other (please specify):,Accounts receivable,Yes,"Updating Remittance Details,Updating Company Information,Finding guidance on PaymentWorks actions,Supplier Registration","Contacting PaymentWorks,Updating Remittance Details,Supplier Registration","Procurement (pohelp@ucsd.edu),Other (please specify):",Yes,Other:,"Finding guidance on Transcepta actions.,Receiving notifications about invoice errors/rejections",None of the Above,Procurement (pohelp@ucsd.edu),Other (Please specify):,I have not experienced any difficulties,3 – Neutral,Yes
Large Business,Administrative support,Yes,Updating Company Information,Supplier Registration,"PaymentWorks' Payee Knowledge Base,Accounts Payable (payables@ucsd.edu)",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Onboarding Guide,Other (Please specify):,3 – Neutral,No
Non-Profit Organization,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,I am not aware of any of these resources,I have never utilized these resources or support,2 – Somewhat Unclear,No
Large Business,Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),Yes,Transcepta - Email,"Viewing invoice submission status.,Receiving notifications about invoice errors/rejections,Registering for Transcepta",Receiving notifications about invoice errors/rejections,Accounts Payable (payables@ucsd.edu),Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have never utilized these resources or support,N/A – I do not have access to/do not receive Purchase Orders,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Payee Newsletter,I have not experienced any difficulties,3 – Neutral,No
Small Business (per SBA standards),Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Other (Please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,2 – Somewhat Unclear,No
Non-Profit Organization,Other:,Yes,"Viewing Payment Status,Supplier Registration","N/A, I've never heard of PaymentWorks",PaymentWorks' Payee Knowledge Base,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Other (Please specify):,I have never utilized these resources or support,N/A – I do not have access to/do not receive Purchase Orders,Yes
Small Business (per SBA standards),Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),Yes,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta",Viewing invoice submission status.,"I am unsure who to contact,Accounts Payable (payables@ucsd.edu)",Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have never utilized these resources or support,5 – Extremely Clear,Yes
Non-Profit Organization,Executive-level leadership,Yes,"Supplier Registration,Viewing Payment Status,Contacting PaymentWorks",None of the above,PaymentWorks Support,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Other (Please specify):,I have not experienced any difficulties,3 – Neutral,No
Sole Proprietor / Individual,Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have never utilized these resources or support,2 – Somewhat Unclear,Yes
Large Business,Administrative support,,,,,,,,,,,,,
"Small Business (per SBA standards),Sole Proprietor / Individual",Accounts receivable,,,,,,,,,,,,,
Other (please specify):,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,I am not aware of any of these resources,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,5 – Extremely Clear,No
Other (please specify):,Accounts receivable,Yes,Updating Remittance Details,"Viewing Payment Status,Updating Remittance Details","Procurement (pohelp@ucsd.edu),Other (please specify):",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Payee Newsletter,Other (Please specify):,2 – Somewhat Unclear,Yes
Non-Profit Organization,Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,Yes,Transcepta - Web Portal (PO flip and manual creation),"Receiving notifications about invoice errors/rejections,Viewing invoice submission status.,Registering for Transcepta,Finding guidance on Transcepta actions.","Receiving notifications about invoice errors/rejections,Viewing invoice submission status.",Other (please specify):,Payee Newsletter,I have never utilized these resources or support,3 – Neutral,No
"Small Business (per SBA standards),Sole Proprietor / Individual",Sales,Yes,"Viewing Payment Status,Updating Company Information","Contacting PaymentWorks,Viewing Payment Status","Other (please specify):,PaymentWorks' Payee Knowledge Base",Yes,Transcepta - Web Portal (PO flip and manual creation),None of the Above,None of the Above,"I am unsure who to contact,Transcepta Support",Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Other (Please specify):,2 – Somewhat Unclear,No
Small Business (per SBA standards),Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Other (Please specify):,Other (Please specify):,3 – Neutral,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Payee Newsletter,I have never utilized these resources or support,4 – Somewhat Clear,Yes
Non-Profit Organization,Other:,Yes,Viewing Payment Status,"N/A, I've never heard of PaymentWorks","The person ordering the goods or services,Other (please specify):",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have never utilized these resources or support,2 – Somewhat Unclear,No
Non-Profit Organization,Other:,Yes,Finding guidance on PaymentWorks actions,"Finding guidance on PaymentWorks actions,Contacting PaymentWorks","I am unsure who to contact,PaymentWorks' Payee Knowledge Base",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Other (Please specify):,N/A – I do not have access to/do not receive Purchase Orders,No
"Small Business (per SBA standards),Sole Proprietor / Individual",Administrative support,Yes,"Finding guidance on PaymentWorks actions,Updating Company Information","Viewing Payment Status,Updating Remittance Details,Updating Company Information","Accounts Payable (payables@ucsd.edu),Other (please specify):",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Other (Please specify):,I have not experienced any difficulties,1 – Extremely Unclear,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have never utilized these resources or support,N/A – I do not have access to/do not receive Purchase Orders,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Administrative support,Yes,"Contacting PaymentWorks,Supplier Registration,Updating Company Information","Updating Remittance Details,Viewing Payment Status,Contacting PaymentWorks","The person ordering the goods or services,PaymentWorks' Payee Knowledge Base",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,I am not aware of any of these resources,I have not experienced any difficulties,2 – Somewhat Unclear,Yes
Non-Profit Organization,Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,,,,,,,,,
Non-Profit Organization,Administrative support,Yes,"Finding guidance on PaymentWorks actions,Updating Company Information",Updating Company Information,"The person ordering the goods or services,Other (please specify):",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Payee Onboarding Guide,I have not experienced any difficulties,1 – Extremely Unclear,Yes
Sole Proprietor / Individual,Other:,Yes,None of the above,Contacting PaymentWorks,"PaymentWorks Support,PaymentWorks' Payee Knowledge Base",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),I am not aware of any of these resources,Other (Please specify):,4 – Somewhat Clear,Yes
Sole Proprietor / Individual,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,Yes,Transcepta - Electronic Data Interchange (EDI),None of the Above,"Viewing invoice submission status.,Registering for Transcepta,Receiving notifications about invoice errors/rejections",Transcepta Portal and Knowledge Base,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have not experienced any difficulties,2 – Somewhat Unclear,No
Other (please specify):,Accounts receivable,Yes,Supplier Registration,"N/A, I've never heard of PaymentWorks","I am unsure who to contact,PaymentWorks Support",Yes,Transcepta - Web Portal (PO flip and manual creation),"Finding guidance on Transcepta actions.,Receiving notifications about invoice errors/rejections,Registering for Transcepta","Viewing invoice submission status.,Finding guidance on Transcepta actions.",Procurement (pohelp@ucsd.edu),I am not aware of any of these resources,I have not experienced any difficulties,3 – Neutral,Yes
Other (please specify):,Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),,,,,,,,,
"Small Business (per SBA standards),Sole Proprietor / Individual",Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),Yes,N/A - I don’t know how our invoices are submitted in Transcepta,None of the Above,Receiving notifications about invoice errors/rejections,"The person ordering the goods or services,I am unsure who to contact",Payee Onboarding Guide,I have not experienced any difficulties,5 – Extremely Clear,Yes
Large Business,Administrative support,,,,,,,,,,,,,
Non-Profit Organization,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Payee Newsletter,I have not experienced any difficulties,4 – Somewhat Clear,Yes
Small Business (per SBA standards),Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,I am not aware of any of these resources,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,3 – Neutral,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Executive-level leadership,,,,,,,,,,,,,
Large Business,Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,,,,,,,,,
Non-Profit Organization,Sales,Yes,Supplier Registration,"Contacting PaymentWorks,Updating Remittance Details,Updating Company Information","Accounts Payable (payables@ucsd.edu),Other (please specify):",Yes,Transcepta - Email,"Receiving notifications about invoice errors/rejections,Finding guidance on Transcepta actions.,Viewing invoice submission status.,Registering for Transcepta",Registering for Transcepta,Transcepta Portal and Knowledge Base,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Other (Please specify):,N/A – I do not have access to/do not receive Purchase Orders,No
Small Business (per SBA standards),Accounts receivable,Yes,"Updating Company Information,Viewing Payment Status,Supplier Registration,Contacting PaymentWorks",Supplier Registration,"PaymentWorks Support,The person ordering the goods or services",Yes,Transcepta - Electronic Data Interchange (EDI),None of the Above,"Finding guidance on Transcepta actions.,Receiving notifications about invoice errors/rejections",The person ordering the goods or services,Payee Onboarding Guide,I have not experienced any difficulties,1 – Extremely Unclear,No
Other (please specify):,Executive-level leadership,Yes,"Supplier Registration,Viewing Payment Status","Updating Remittance Details,Finding guidance on PaymentWorks actions,Viewing Payment Status",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,4 – Somewhat Clear,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),I am not aware of any of these resources,I have never utilized these resources or support,4 – Somewhat Clear,Yes
Sole Proprietor / Individual,Executive-level leadership,Yes,"Contacting PaymentWorks,Supplier Registration,Updating Remittance Details","Finding guidance on PaymentWorks actions,Viewing Payment Status,Updating Remittance Details","Other (please specify):,PaymentWorks' Payee Knowledge Base",Yes,Transcepta - Web Portal (PO flip and manual creation),"Viewing invoice submission status.,Registering for Transcepta,Receiving notifications about invoice errors/rejections,Finding guidance on Transcepta actions.",Receiving notifications about invoice errors/rejections,Other (please specify):,Payee Onboarding Guide,Other (Please specify):,4 – Somewhat Clear,Yes
Other (please specify):,Other:,Yes,"Updating Company Information,Finding guidance on PaymentWorks actions,Updating Remittance Details,Viewing Payment Status","Viewing Payment Status,Contacting PaymentWorks","Procurement (pohelp@ucsd.edu),PaymentWorks' Payee Knowledge Base",Yes,Transcepta - Electronic Data Interchange (EDI),"Finding guidance on Transcepta actions.,Registering for Transcepta","Receiving notifications about invoice errors/rejections,Finding guidance on Transcepta actions.,Registering for Transcepta",Accounts Payable (payables@ucsd.edu),Other (Please specify):,I have never utilized these resources or support,N/A – I do not have access to/do not receive Purchase Orders,Yes
Other (please specify):,Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,I am not aware of any of these resources,Other (Please specify):,4 – Somewhat Clear,Yes
Sole Proprietor / Individual,Sales,Yes,Updating Company Information,"Supplier Registration,Finding guidance on PaymentWorks actions,Updating Remittance Details","PaymentWorks' Payee Knowledge Base,I am unsure who to contact",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Newsletter,I have never utilized these resources or support,1 – Extremely Unclear,Yes
Other (please specify):,Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Payee Newsletter,Other (Please specify):,3 – Neutral,No
Other (please specify):,Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),Yes,Transcepta - Web Portal (PO flip and manual creation),"Finding guidance on Transcepta actions.,Registering for Transcepta,Receiving notifications about invoice errors/rejections","Receiving notifications about invoice errors/rejections,Viewing invoice submission status.,Registering for Transcepta","Transcepta Portal and Knowledge Base,Procurement (pohelp@ucsd.edu)",Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,2 – Somewhat Unclear,Yes
