org_type_other,role_other,paymentworks_actions_text,paymentworks_difficulties_text,paymentworks_support_other,paymentworks_issues_open,invoice_submission_other,transcepta_interactions_text,transcepta_difficulties_text,transcepta_support_other,transcepta_issues_open,ipps_resources_other,ipps_difficulties_other,po_clarity_text,suggestions_open
,,,Haven't had issues yet.,,I had a horrible experience as a UC San Diego supplier.,,,,,,,Payables@ucsd.edu is not very helpful.,,
"Smaller, privately owned business but not per SBA standards",,,,,,"Unless forced to submit via Transcepta, we do not use Transcepta. Our customers receive invoices emailed to their AP or business email.",,,I don't know what else to tell you.,,,kept referring me to self-help and Transcepta support,Clear but the support for issues with the process was lacking.,
,,,,,,,,,,,,,,
,Office Manager,,,,,Print it out and give it to the manager of the store.,I've spoken with Customer Service multiple times. They had different instructions than what was provided and admitted their QBO interface was not good.,,,,,,,
,,,,,,,,,,,,,,
Certified WBE,,,Haven't had issues yet.,,,,,,,,,,,I believe the process could be greatly improved by having a single point of contact instead of multiple portals.
,,,,,"Unless forced to submit via Transcepta, we do not use it. Our customers receive invoices emailed directly.","Unless forced to submit via Transcepta, we do not use Transcepta. Our customers receive invoices emailed to their AP or business email.",,Been too long. Do not remember.,,When I submit an invoice the total always shows $0. I need to edit it each time.,,,,Get rid of Transcepta.
,,,,,The customers use PaymentWorks. Our company does not interact with it directly.,,,,,"I was directed to Transcepta only after all other stages were complete and work had been done for two months. Invoices in one system, payment info in another, status updates in another. Very convoluted.",,,,
,,,,,,,,,,"Transcepta creates much more work for the supplier. It requires re-entering all information from our own invoices item by item, line by line. We prefer to submit our company-generated invoices directly.",Other resources found via Google.,,,A telephone number for supplier support would be very helpful. It used to be possible to contact a person directly. Much more efficient than now.
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Please change this process as soon as possible. You are paying us — we issue an invoice with payment instructions and it is your organization's responsibility to match it to internal POs.
,,,,,,,,,,,,,Optional — please elaborate on your choice.,
,,,,,,,,,,,,,,
,,,"Things that are not important for me — I do not remember, so it is probably fine.",,"I was directed to PaymentWorks very late in the process, then directed to another option. Very confusing.",,,,,,,kept referring me to self-help and Transcepta support,,It's nearly impossible to communicate with a real person. I suspect that is by design. But it makes it very hard to figure out issues.
,,,,,,,Been too long. Do not remember.,,,,,,,
,,,,,,,,,,,,,,
,"AP, Purchasing, Estimator, AR, Sales",,,,I had a difficult time connecting with a PaymentWorks representative initially.,,,,,Every year there is a huge delay in PO renewals resulting in two to three months of inability to work or get paid.,,,,A telephone number for supplier support would be very helpful. It used to be possible to contact a person directly. Much more efficient than now.
,,,,,We have encountered challenges with tax form management — asked to resubmit documents already on file.,,,,,,,,,
,,,,,,,,,,,,,,
,Live Bee removal,,,,,QBO (QuickBooks Online),,,MedEd AP person or my project manager.,When I submit an invoice the total always shows $0. I need to edit it each time.,,,,
,,"I thought we used PaymentWorks for invoicing, but my notes say Transcepta. Still unclear what PaymentWorks is for.",,,,,,,,,,,,
,,,,,A Client status says Registration Approved but it never advanced to Connected.,,,,,,,,,Communication — simple and straightforward. That may be something to implement.
,Owner/Operator,,,,,,Unbelievable that in the age of AI you still require mapping invoices in specific places. QuickBooks does it automatically.,,,,,,,
,Teaching,,,,,,,,,,Other resources found via Google.,,,
,,"I thought we used PaymentWorks for invoicing, but my notes say Transcepta. Still unclear what PaymentWorks is for.",Registered four times. Always rejected with no explanation. A simple phone call would resolve it in two minutes.,,,,,,,,,,,
,,,,,,,,,,,,,I don't know what instructions you are referring to. All I need is the number and the statement of work.,
,,,,,,,,,,,,,,
,,,,,,,,,,Transcepta is doing nothing but creating delays in payment. Small businesses cannot afford to carry receivables.,,I'm a small business. Spending time on administrative tasks that should take minutes costs money and productivity.,,
,Teaching,,,,I had a difficult time connecting with a PaymentWorks representative initially.,,,,,Been too long. Do not remember.,,I'm a small business. Spending time on administrative tasks that should take minutes costs money and productivity.,,
,,,"Getting what method of payment was set. It was a credit card at one time, now a transfer.",,Been too long. Do not remember.,,,,,,,,,
,,,Very challenging given the requirements to submit for reimbursement.,,Client status says 'Registration Approved' but never advanced to 'Connected.',,,,,,,I'm a small business. Spending time on administrative tasks that should take minutes costs money and productivity.,I don't know what instructions you are referring to. All I need is the number and the statement of work.,
,,,,,"I was directed to PaymentWorks very late in the process, then directed to another option. Very confusing.",,Unbelievable that in the age of AI you still require mapping invoices in specific places. QuickBooks does it automatically.,,,,I have created my own set of instructions — a how-to document to navigate this system.,,,
,,,,,,,,,,,,,,Been too long. Do not remember.
,,,,,,Print it out and give it to the manager of the store.,,,,I am having significant issues with Transcepta. It is not functional and has resulted in significant payment delays.,,,,A telephone number for supplier support would be very helpful. It used to be possible to contact a person directly. Much more efficient than now.
,role in what? The question makes no sense.,,,Have not used it yet.,,,Unbelievable that in the age of AI you still require mapping invoices in specific places. QuickBooks does it automatically.,,,Been too long. Do not remember.,,,,Unbelievable that in the age of AI you still require manual invoice mapping. QuickBooks does this automatically.
,,,,,,QBO (QuickBooks Online),Optional — please elaborate on choices selected.,,,,,,,
,,,,,The customers use PaymentWorks. Our company does not interact with it directly.,,Unbelievable that in the age of AI you still require mapping invoices in specific places. QuickBooks does it automatically.,,,,,,,
Certified WBE,,,Very challenging given the requirements to submit for reimbursement.,,,,,As a vendor we do not appreciate being required to upload invoices and add internal information. Your AP team should handle this.,,,,I'm a small business. Spending time on administrative tasks that should take minutes costs money and productivity.,,
,,,,,,,,"Transcepta requires re-entering all information from our own invoices item by item, line by line. Very cumbersome.",,,,,,
,,,,,You are paying us. We should not have to register in your internal processing portal. AP specialists at your organization should be handling this.,,,,,,,,,
,,,,,Been too long. Do not remember.,,I am really confused about the relationship between PaymentWorks and Transcepta.,,,,,,I usually have to contact someone at UC San Diego when our PO dollar amount is used up. I'd prefer an email notification rather than having to reach out myself.,"I've had many issues resolved by the department administrator. That being said, a net-60 soon becoming net-90 is completely unreasonable."
,,,,,I had a horrible experience as a UC San Diego supplier.,,N/A — I've never interacted with Transcepta directly.,,,,,,I don't remember who I emailed.,
,,,,,,,,,,,,,,Been too long. Do not remember.
Micro Business,"AP, Purchasing, Estimator, AR, Sales",,,,,,,,,,,,,
,,,,,,,,,,,,,Clear but the support for issues with the process was lacking.,Unbelievable that in the age of AI you still require manual invoice mapping. QuickBooks does this automatically.
,,I have not used PaymentWorks directly; our client handles that side.,,,"Registered four times. All futile. Keeps asking for correct Tax ID, always rejects with no explanation. A phone call would fix it in two minutes. Staff response is mainly 'log in again and retry.' Frankly, PaymentWorks is amazingly complex and inefficient.",,,,,,,,,Thank you for the continued efforts to improve supplier experience. More streamlined guidance would be appreciated.
,,,,,,,I do not recall.,Viewing invoice submission status was the main issue.,,,,,Optional — please elaborate on your choice.,
,,,,,,,,,,,,,I don't know what instructions you are referring to. All I need is the number and the statement of work.,
,,,,,,,,When I submit an invoice the total always shows $0 and I have to go back and edit it to change the amount.,,,,,kept referring me to self-help,Thank you for the continued efforts to improve supplier experience. More streamlined guidance would be appreciated.
,,,,,,,I do not recall.,,,,,,,
,,,,,,I need to check what I used.,,,,,,,,
,,"I thought we used PaymentWorks for invoicing, but my notes say Transcepta. Still unclear what PaymentWorks is for.","Things that are not important for me — I do not remember, so it is probably fine.",,,,,,,When I submit an invoice the total always shows $0. I need to edit it each time.,,,,
,Owner,,,,,,,,Accounting department.,,Department administrator shared a guide.,,,
,,,"Getting what method of payment was set. It was a credit card at one time, now a transfer.",,,,,As a vendor we do not appreciate being required to upload invoices and add internal information. Your AP team should handle this.,Have not used it yet.,,,,,I began this process in early December. Work was completed in January. I was still working through your portals well into April. There is no reason for this.
,Owner,See response to question #2.,,,,,,,,,,,,
,,,,,Been too long. Do not remember.,,,I do not recall.,,Everything was bad. I will never work again with any company that uses Transcepta.,,,"Since February we receive work orders and fulfill them without a PO number, as FM is behind in providing one.",
,Owner/Operations,,,,,,,,,,,,,
"Smaller, privately owned business but not per SBA standards",Office Manager,,,,,,,,,,,Payables@ucsd.edu is not very helpful.,,
,,,,,,,,,,,,,,Please change this process as soon as possible. You are paying us — we issue an invoice with payment instructions and it is your organization's responsibility to match it to internal POs.
,,I have not used PaymentWorks directly; our client handles that side.,,,I had a horrible experience as a UC San Diego supplier.,,,Viewing invoice submission status was the main issue.,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,Have not used it yet.,,,,,
,"AP, Purchasing, Estimator, AR, Sales","We use it only for registration. Once set up, we don't log back in.",,,,,,,,,,,,
,role in what? The question makes no sense.,,,,,,,,"We didn't choose to use this portal — your organization did. You should be the point of contact for issues, not a third-party vendor.",,,,"My most recent PO communication came directly from a real person, not from these systems.",
,,,,,,Email directly to AP contact.,,,,,,,,
,,,Registered four times. Always rejected with no explanation. A simple phone call would resolve it in two minutes.,,,I need to check what I used.,,,,I am having significant issues with Transcepta. It is not functional and has resulted in significant payment delays.,,,,
,,,,,,,,,,,,Being referred to self-help when the issue required direct human assistance.,,
,,,This process has been totally ill-timed and communicated. Multiple hard-copy letters saying the same thing. Phone support is a revolving cycle of asking for more information.,,,,,,,,,,,
,,,,,,,,,,,,,,
,Agriculture sales,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,N/A — I've never interacted with Transcepta directly.,,,,,,,
,Accounting,,,,You are paying us. We should not have to register in your internal processing portal. AP specialists at your organization should be handling this.,,,,,Been too long. Do not remember.,,,,
,,,,,,,,,,,,,,
,,,,,"I was directed to PaymentWorks very late in the process, then directed to another option. Very confusing.",,,"Often have to contact my colleague at UCSD, who then calls Transcepta.",,,,,,
,Owner/Operations,,,Have not used it yet.,,,,,,,,,,
,,,,,,,,As a vendor we do not appreciate being required to upload invoices and add internal information. Your AP team should handle this.,,,,,I don't remember who I emailed.,Thank you for the continued efforts to improve supplier experience. More streamlined guidance would be appreciated.
,,,Registered four times. Always rejected with no explanation. A simple phone call would resolve it in two minutes.,,,,,,,,,,,
,Owner/Operations,,,We have not used PaymentWorks.,I had a difficult time connecting with a PaymentWorks representative initially.,,,,,,,,,A telephone number for supplier support would be very helpful. It used to be possible to contact a person directly. Much more efficient than now.
,,,,,,,,Everything was bad. I will never work again with any company that uses Transcepta.,,,,,,Been too long. Do not remember.
,Consulting firm,,,,,,,Viewing invoice submission status was the main issue.,Been too long. Do not remember.,,,,,
,Owner/Operations,,,,,,,"Transcepta requires re-entering all information from our own invoices item by item, line by line. Very cumbersome.",,When I submit an invoice the total always shows $0. I need to edit it each time.,,Read comment above. The issue isn't having enough support — it's about having an easy-to-use system that does things right the first time.,,Thank you for the continued efforts to improve supplier experience. More streamlined guidance would be appreciated.
,,,,Never heard of PaymentWorks before this survey.,,,,,,,,,,
,,,Haven't had issues yet.,,,EDI,,,,,,,,
,,,,,,,,"Transcepta requires re-entering all information from our own invoices item by item, line by line. Very cumbersome.",,,,,,
,,See response to question #2.,,,Client status says 'Registration Approved' but never advanced to 'Connected.',,,,,,,,,
,,,,,,,,,,,,,,
DBE CA,,I rarely use PaymentWorks — only log in when UCSD requires an update.,,,,,,No issues. Transcepta is very easy to use.,,,,,kept referring me to self-help,
,,,,We have not used PaymentWorks.,,,,Viewing invoice submission status was the main issue.,,,,,,
,,,,Have not used it yet.,,,,,,Every year there is a huge delay in PO renewals resulting in two to three months of inability to work or get paid.,,,,
,Dispatch Manager,,"Things that are not important for me — I do not remember, so it is probably fine.",,,,,"Transcepta requires re-entering all information from our own invoices item by item, line by line. Very cumbersome.",,When I submit an invoice the total always shows $0. I need to edit it each time.,,,,
,,,,,,,,,,,,,,
,Owner,,,,,,,,,,,,,"I've had many issues resolved by the department administrator. That being said, a net-60 soon becoming net-90 is completely unreasonable."
,,,,,,,,,,,,,,
,,,,,,,,,,Been too long. Do not remember.,,,,
,,,,I am having significant issues — it is not functional.,,,,,,,,,"Since February we receive work orders and fulfill them without a PO number, as FM is behind in providing one.",
,Owner/Operator,,,,,,,,,,,,,Renew POs much faster for existing vendors. I shouldn't have to shuffle work to account for multiple months of non-payment while this gets sorted out.
,Media Trainer,See response to question #2.,,,,,,,,,,,,
,,,This process has been totally ill-timed and communicated. Multiple hard-copy letters saying the same thing. Phone support is a revolving cycle of asking for more information.,,,,,,,,,,,
,,,,,,,,,,,,,I don't remember who I emailed.,
,,,,I haven't had an issue.,,,I am really confused about the relationship between PaymentWorks and Transcepta.,No issues. Transcepta is very easy to use.,,,,,,"Consider that if a company has to have that many resources to solve issues, it's not a good system."
,,,,,,,Unbelievable that in the age of AI you still require mapping invoices in specific places. QuickBooks does it automatically.,,,,,,,More streamlined guidance and centralized communication channels would make it easier for suppliers to navigate processes and obtain timely support.
Uncertified Small Business,Accounting,,This process has been totally ill-timed and communicated. Multiple hard-copy letters saying the same thing. Phone support is a revolving cycle of asking for more information.,,,,,,,When I submit an invoice the total always shows $0. I need to edit it each time.,,,,It's nearly impossible to communicate with a real person. I suspect that is by design. But it makes it very hard to figure out issues.
,,,Haven't had issues yet.,,,,I am really confused about the relationship between PaymentWorks and Transcepta.,,,,,,,
,Accounting,,Registered four times. Always rejected with no explanation. A simple phone call would resolve it in two minutes.,,The customers use PaymentWorks. Our company does not interact with it directly.,,,,,Transcepta is doing nothing but creating delays in payment. Small businesses cannot afford to carry receivables.,,,"Since February we receive work orders and fulfill them without a PO number, as FM is behind in providing one.",
,,,,,,,,,,,,,I don't know what instructions you are referring to. All I need is the number and the statement of work.,
,,,,,,,,,,,Other resources found via Google.,,,
,,,,Accounting department internally.,,,,,,,,,,Communication — simple and straightforward. That may be something to implement.
,,,"Things that are not important for me — I do not remember, so it is probably fine.",,Getting paid for invoices submitted has been the main challenge.,EMAIL. You are paying us. We should not have to register in your internal portal.,,,,,,kept referring me to self-help and Transcepta support,,Please change this process as soon as possible. You are paying us — we issue an invoice with payment instructions and it is your organization's responsibility to match it to internal POs.
,,,,,,,,,,Transcepta is doing nothing but creating delays in payment. Small businesses cannot afford to carry receivables.,,,,
,,,,,,,,I do not recall.,,"Transcepta creates much more work for the supplier. It requires re-entering all information from our own invoices item by item, line by line. We prefer to submit our company-generated invoices directly.",,,"Since February we receive work orders and fulfill them without a PO number, as FM is behind in providing one.",
"Smaller, privately owned business but not per SBA standards",,,Very challenging given the requirements to submit for reimbursement.,None.,,,Unbelievable that in the age of AI you still require mapping invoices in specific places. QuickBooks does it automatically.,,,Every year there is a huge delay in PO renewals resulting in two to three months of inability to work or get paid.,,,,Communication — simple and straightforward. That may be something to implement.
,,,,,I had a horrible experience as a UC San Diego supplier.,,,,,,,,,Unbelievable that in the age of AI you still require manual invoice mapping. QuickBooks does this automatically.
,,,,,,,I am really confused about the relationship between PaymentWorks and Transcepta.,No issues. Transcepta is very easy to use.,,,,,,
,,,,,A Client status says Registration Approved but it never advanced to Connected.,,,,,,,,,A telephone number for supplier support would be very helpful. It used to be possible to contact a person directly. Much more efficient than now.
,,,,We have not used PaymentWorks.,Client status says 'Registration Approved' but never advanced to 'Connected.',,,,,,,,,
,Consulting firm,,,,,Email directly to AP contact.,,,,,Department administrator shared a guide.,,,
,Owner and Software Developer,,"Getting what method of payment was set. It was a credit card at one time, now a transfer.",,Getting paid for invoices submitted has been the main challenge.,,,,I don't know what else to tell you.,,,Read comment above. The issue isn't having enough support — it's about having an easy-to-use system that does things right the first time.,Clear but the support for issues with the process was lacking.,
,Owner/Operations,,,I finally got ahold of someone after several attempts.,We have encountered challenges with tax form management — asked to resubmit documents already on file.,,,,,,,,,
,,,,We have not used PaymentWorks.,,,,,,Every year there is a huge delay in PO renewals resulting in two to three months of inability to work or get paid.,,,,
,"AP, Purchasing, Estimator, AR, Sales",,,None.,"Registered four times. All futile. Keeps asking for correct Tax ID, always rejects with no explanation. A phone call would fix it in two minutes. Staff response is mainly 'log in again and retry.' Frankly, PaymentWorks is amazingly complex and inefficient.",,,,,,,,,
,Sole member,,,I finally got ahold of someone after several attempts.,,,,,,,,,,
,Sole member,,,,,,,,,,,,,
,,,I have no idea how to enroll a new payor. Is UC San Diego a company or a supplier in the system?,,,,,,,,I have created my own set of instructions — a how-to document to navigate this system.,,,
,Dispatch Manager,,,,,Been too long. Do not remember.,,When I submit an invoice the total always shows $0 and I have to go back and edit it to change the amount.,,Every year there is a huge delay in PO renewals resulting in two to three months of inability to work or get paid.,,,I don't remember who I emailed.,
,,,,,,,,,Accounting department.,Everything was bad. I will never work again with any company that uses Transcepta.,Been too long. Do not remember.,,Optional — please elaborate on your choice.,
,Owner/Operations,,,,Been too long. Do not remember.,,,"It is a little cumbersome. Many steps, but understandable given the nature of the system.",,,,,,Communication — simple and straightforward. That may be something to implement.
,,I have not used PaymentWorks directly; our client handles that side.,I do not recall having difficulties.,,,,,,Have not used it yet.,Transcepta is doing nothing but creating delays in payment. Small businesses cannot afford to carry receivables.,,,,
,Media Trainer,"I thought we used PaymentWorks for invoicing, but my notes say Transcepta. Still unclear what PaymentWorks is for.",,,,,,,,,,,,
,,,,,,,,Had to contact several parties over several months to resolve the issue.,,,,,,
,,,,,,,,,,Been too long. Do not remember.,,,,
,,,,,,,,,,,,,,
,,,,We have not used PaymentWorks.,,,,,,,,Being referred to self-help when the issue required direct human assistance.,,There should be changes to the length of time services are paid for. It is not reasonable to expect a contractor to wait 60 or 90 days to get paid.
,Live Bee removal,,,,,i need to check what i used,,,,"Transcepta creates much more work for the supplier. It requires re-entering all information from our own invoices item by item, line by line. We prefer to submit our company-generated invoices directly.",,,,
,,,,,,,,No issues. Transcepta is very easy to use.,,,,,,Please change this process as soon as possible. You are paying us — we issue an invoice with payment instructions and it is your organization's responsibility to match it to internal POs.
,Media Trainer,,,,"Unless forced to submit via Transcepta, we do not use it. Our customers receive invoices emailed directly.",,,,,,,,,
,,,I have no idea how to enroll a new payor. Is UC San Diego a company or a supplier in the system?,Have not used it yet.,,,,Had to contact several parties over several months to resolve the issue.,MedEd AP person or my project manager.,,,,,
,,,,,"Registered four times. All futile. Keeps asking for correct Tax ID, always rejects with no explanation. A phone call would fix it in two minutes. Staff response is mainly 'log in again and retry.' Frankly, PaymentWorks is amazingly complex and inefficient.",,,,Been too long. Do not remember.,,,,,
,,,,,,,,,,,,,,
,,,,,,,,When I submit an invoice the total always shows $0 and I have to go back and edit it to change the amount.,,,,,Clear but the support for issues with the process was lacking.,
,,,,,,,,,,,,,,
,Owner/Operations,,,,"I was directed to PaymentWorks very late in the process, then directed to another option. Very confusing.",,,,,,Been too long. Do not remember.,,,I don't recall enough to provide meaningful feedback at this time.
,,,,,,,,,,,,,,
,,,,,Very challenging given requirements. I've created my own how-to document to navigate this.,,I do not recall.,,,,I have created my own set of instructions — a how-to document to navigate this system.,,,
,,,,,,,I am really confused about the relationship between PaymentWorks and Transcepta.,,,Every year there is a huge delay in PO renewals resulting in two to three months of inability to work or get paid.,,,,
,Owner/Operations,,,,,,,"Often have to contact my colleague at UCSD, who then calls Transcepta.",,,,,,
,Owner,,,,,,,,Been too long. Do not remember.,,,,,Thank you for the continued efforts to improve supplier experience. More streamlined guidance would be appreciated.
,,,,,,,,,,,,kept referring me to self-help and Transcepta support,,
,Accounting,,,I haven't had an issue.,,,,When I submit an invoice the total always shows $0 and I have to go back and edit it to change the amount.,,One invoice was approved but never paid when the AP clerk on my account changed.,,,"Since February we receive work orders and fulfill them without a PO number, as FM is behind in providing one.",
,,,,,You are paying us. We should not have to register in your internal processing portal. AP specialists at your organization should be handling this.,,,,,I am having significant issues with Transcepta. It is not functional and has resulted in significant payment delays.,,,"Since February we receive work orders and fulfill them without a PO number, as FM is behind in providing one.",
,,,,,,,,,,,,,,
,,,,,,,,,,Been too long. Do not remember.,,,,
"Smaller, privately owned business but not per SBA standards",,,,,,,,,,When I submit an invoice the total always shows $0. I need to edit it each time.,,,,"I've had many issues resolved by the department administrator. That being said, a net-60 soon becoming net-90 is completely unreasonable."
,,See response to question #2.,,,,,,,,,,,,
,,,,Accounting department internally.,"I was directed to PaymentWorks very late in the process, then directed to another option. Very confusing.",QBO (QuickBooks Online),,"It is a little cumbersome. Many steps, but understandable given the nature of the system.",,,,,,
,Owner and Software Developer,,,,,,I do not recall.,,,"Transcepta creates much more work for the supplier. It requires re-entering all information from our own invoices item by item, line by line. We prefer to submit our company-generated invoices directly.",,,,It's nearly impossible to communicate with a real person. I suspect that is by design. But it makes it very hard to figure out issues.
,,,,UCSD Extension Office.,,,,,,,,kept referring me to self-help and Transcepta support,,
,,,,,,,,,,Everything was bad. I will never work again with any company that uses Transcepta.,,,,More streamlined guidance and centralized communication channels would make it easier for suppliers to navigate processes and obtain timely support.
,,,,,,,,,,,,,,There should be changes to the length of time services are paid for. It is not reasonable to expect a contractor to wait 60 or 90 days to get paid.
,,,I have no idea how to enroll a new payor. Is UC San Diego a company or a supplier in the system?,,,,,,,,Been too long. Do not remember.,,,
,,"We use it only for registration. Once set up, we don't log back in.",,,,,,,,,,Being referred to self-help when the issue required direct human assistance.,,
,,,,,,,,,,,,Been too long. Do not remember.,,
,,"We use it only for registration. Once set up, we don't log back in.",,,,,,,,,,,,
,"Integration and design of electronics, optics and robotics",,,,,,,,,,,,,
,Engineering Sales & Service,,,,"Registered four times. All futile. Keeps asking for correct Tax ID, always rejects with no explanation. A phone call would fix it in two minutes. Staff response is mainly 'log in again and retry.' Frankly, PaymentWorks is amazingly complex and inefficient.",,,,,,,,,
,,,,,,,,,,,,,kept referring me to self-help,
,Accounting,,,,,,,As a vendor we do not appreciate being required to upload invoices and add internal information. Your AP team should handle this.,,Been too long. Do not remember.,,,,
,,,,,,,,,,,,,,
,,I have not used PaymentWorks directly; our client handles that side.,,,,,,Viewing invoice submission status was the main issue.,,,,,,
,,,,,,,Unbelievable that in the age of AI you still require mapping invoices in specific places. QuickBooks does it automatically.,,,Was unable to add UC San Diego without Transcepta support's assistance. Kept being referred to self-help options that were not working.,,,,
,,,,,,,,,,,,kept referring me to self-help and Transcepta support,I don't remember who I emailed.,
,,"We use it only for registration. Once set up, we don't log back in.",,We have not used PaymentWorks.,,,,,,,,,I usually have to contact someone at UC San Diego when our PO dollar amount is used up. I'd prefer an email notification rather than having to reach out myself.,
,Sole member,I have not used PaymentWorks directly; our client handles that side.,,,A Client status says Registration Approved but it never advanced to Connected.,,,"Transcepta requires re-entering all information from our own invoices item by item, line by line. Very cumbersome.",,One invoice was approved but never paid when the AP clerk on my account changed.,,kept referring me to self-help and Transcepta support,,
,,,,,,,,,,,,,,
,"AP, Purchasing, Estimator, AR, Sales",,,,,,Unbelievable that in the age of AI you still require mapping invoices in specific places. QuickBooks does it automatically.,,,,,,,Get rid of Transcepta.
,,,,,"Unless forced to submit via Transcepta, we do not use it. Our customers receive invoices emailed directly.",,,"Often have to contact my colleague at UCSD, who then calls Transcepta.","We didn't choose to use this portal — your organization did. You should be the point of contact for issues, not a third-party vendor.",,,,,
,,,,,You are paying us. We should not have to register in your internal processing portal. AP specialists at your organization should be handling this.,,I do not recall.,Been too long. Do not remember.,,,,,kept referring me to self-help,
,,,,,,,,,,Everything was bad. I will never work again with any company that uses Transcepta.,,,,Been too long. Do not remember.
,,,,,,,,"It is a little cumbersome. Many steps, but understandable given the nature of the system.",,,I have created my own set of instructions — a how-to document to navigate this system.,,,
,,,,,,,,,,,,,,"I've had many issues resolved by the department administrator. That being said, a net-60 soon becoming net-90 is completely unreasonable."
,,,"Things that are not important for me — I do not remember, so it is probably fine.",,We have encountered challenges with tax form management — asked to resubmit documents already on file.,,,Been too long. Do not remember.,,,,,Clear but the support for issues with the process was lacking.,
,,,,,,,,,,,,,,
,,,This process has been totally ill-timed and communicated. Multiple hard-copy letters saying the same thing. Phone support is a revolving cycle of asking for more information.,,,,,,,I am having significant issues with Transcepta. It is not functional and has resulted in significant payment delays.,,,,
,Owner,,,I haven't had an issue.,Been too long. Do not remember.,,Unbelievable that in the age of AI you still require mapping invoices in specific places. QuickBooks does it automatically.,,,,,I'm a small business. Spending time on administrative tasks that should take minutes costs money and productivity.,,
,Dispatch Manager,,,Have not used it yet.,I had a horrible experience as a UC San Diego supplier.,,N/A — I've never interacted with Transcepta directly.,,,,,,,
,,,,,,,,"It is a little cumbersome. Many steps, but understandable given the nature of the system.",,,,,,
,,,,,,,,I do not recall.,,,,,,I believe the process could be greatly improved by having a single point of contact instead of multiple portals.
,,,,,,,,,,Was unable to add UC San Diego without Transcepta support's assistance. Kept being referred to self-help options that were not working.,,,,
Public Agency,Owner/Operations,I have not used PaymentWorks directly; our client handles that side.,,,,,,,,Been too long. Do not remember.,I have created my own set of instructions — a how-to document to navigate this system.,,,Unbelievable that in the age of AI you still require manual invoice mapping. QuickBooks does this automatically.
,,,,,,,,,,,,,,"I've had many issues resolved by the department administrator. That being said, a net-60 soon becoming net-90 is completely unreasonable."
,,,,,,,,I do not recall.,,,,,,
,,,,,,,,,,One invoice was approved but never paid when the AP clerk on my account changed.,I have created my own set of instructions — a how-to document to navigate this system.,,,
,,,,,,,,Been too long. Do not remember.,,One invoice was approved but never paid when the AP clerk on my account changed.,,,,Been too long. Do not remember.
,Manager,,,,,,,,,,,kept referring me to self-help and Transcepta support,,
,Consulting firm,,,We have not used PaymentWorks.,,,,,,,,I honestly don't wish to invest the time.,,
,,,,,,,,,,,,,,It's nearly impossible to communicate with a real person. I suspect that is by design. But it makes it very hard to figure out issues.
,,,,,,,,"Often have to contact my colleague at UCSD, who then calls Transcepta.",,,,,Optional — please elaborate on your choice.,
,,,,,,,,,,,,,,Been too long. Do not remember.
,Accounting,,,,,,,,,,,,,
,,,,,,,I am really confused about the relationship between PaymentWorks and Transcepta.,,,,,,,
,,,,,,,,,,,,,,
,,,,,,"Unless forced to submit via Transcepta, we do not use Transcepta. Our customers receive invoices emailed to their AP or business email.",,,,Everything was bad. I will never work again with any company that uses Transcepta.,,,,
,,,,,"Registered four times. All futile. Keeps asking for correct Tax ID, always rejects with no explanation. A phone call would fix it in two minutes. Staff response is mainly 'log in again and retry.' Frankly, PaymentWorks is amazingly complex and inefficient.",,,,,,,,Optional — please elaborate on your choice.,
Uncertified Small Business,,,,I am having significant issues — it is not functional.,,,,,Have not used it yet.,When I submit an invoice the total always shows $0. I need to edit it each time.,,,"My most recent PO communication came directly from a real person, not from these systems.",
,,,"Getting what method of payment was set. It was a credit card at one time, now a transfer.",,,,,Everything was bad. I will never work again with any company that uses Transcepta.,,,,,"My most recent PO communication came directly from a real person, not from these systems.",Been too long. Do not remember.
,,,,,,,,,MedEd AP person or my project manager.,,,,,
,,,,,,,Been too long. Do not remember.,,,Transcepta is doing nothing but creating delays in payment. Small businesses cannot afford to carry receivables.,,,,There should be changes to the length of time services are paid for. It is not reasonable to expect a contractor to wait 60 or 90 days to get paid.
,,,,,"Again, never heard of this — I used to send invoices to the manager, now I use Transcepta.",,,I do not recall.,,,Department administrator shared a guide.,,Clear but the support for issues with the process was lacking.,
,,,,,,,,,,,,,,I don't recall enough to provide meaningful feedback at this time.
,,,Registered four times. Always rejected with no explanation. A simple phone call would resolve it in two minutes.,,,,I've spoken with Customer Service multiple times. They had different instructions than what was provided and admitted their QBO interface was not good.,"Often have to contact my colleague at UCSD, who then calls Transcepta.",,I have spent hours trying to fix it. After uploading directly with a PDF it is still showing a $0 balance. Transcepta is an awful system for a small business owner.,,,,
,,"We use it only for registration. Once set up, we don't log back in.",,,"Again, never heard of this — I used to send invoices to the manager, now I use Transcepta.",,,Transcepta is awful for small businesses — almost all of us use QuickBooks or QBO.,,"Transcepta creates much more work for the supplier. It requires re-entering all information from our own invoices item by item, line by line. We prefer to submit our company-generated invoices directly.",,,kept referring me to self-help,
"Smaller, privately owned business but not per SBA standards",,,,,,,,Been too long. Do not remember.,,,,,,
,,"I thought we used PaymentWorks for invoicing, but my notes say Transcepta. Still unclear what PaymentWorks is for.",,,,QBO (QuickBooks Online),,,,,,,,
,Live Bee removal,,,,,EDI,,,,,,,,
